equipment_id,equipment_type,manufacturer,model,serial_number,purchase_date,warranty_expiration,operating_system,processor,ram_size,last_test_date
1,desktop,Mudo,HP EliteBook,GHI789,7/21/2014,10/13/2023,macOS Big Sur,Qualcomm Snapdragon,16,3/20/2022
2,printer,Voonyx,Lenovo ThinkCentre,ABC123,1/17/2017,6/19/2023,Ubuntu 20.04,Intel Core i7,4,10/24/2023
3,server,Snaptags,HP EliteBook,DEF456,12/12/2019,4/24/2022,macOS Big Sur,AMD Ryzen 5,25,4/19/2020
4,server,Skinder,Lenovo ThinkCentre,DEF456,5/17/2021,4/22/2023,macOS Big Sur,AMD Ryzen 5,28,9/29/2022
5,printer,Eimbee,Dell OptiPlex,DEF456,4/12/2013,4/24/2024,Windows 10,AMD Ryzen 5,30,12/18/2020
6,printer,Quaxo,Lenovo ThinkCentre,GHI789,5/10/2013,8/18/2025,Windows 10,Qualcomm Snapdragon,20,12/25/2022
7,printer,Riffpath,Dell OptiPlex,DEF456,12/2/2011,12/22/2023,macOS Big Sur,Qualcomm Snapdragon,24,3/22/2023
8,desktop,Vidoo,HP EliteBook,ABC123,3/11/2014,4/9/2025,Windows 10,Intel Core i7,6,6/30/2021
9,desktop,Photobug,Lenovo ThinkCentre,GHI789,9/29/2011,1/13/2024,Ubuntu 20.04,Qualcomm Snapdragon,32,9/15/2022
10,laptop,Tambee,Lenovo ThinkCentre,DEF456,10/21/2014,2/16/2024,Windows 10,Intel Core i7,17,3/3/2021
11,scanner,Plambee,Lenovo ThinkCentre,GHI789,1/29/2011,12/5/2025,Windows 10,AMD Ryzen 5,4,11/4/2020
12,server,Shuffledrive,HP EliteBook,DEF456,10/20/2018,12/4/2025,macOS Big Sur,Intel Core i7,30,8/9/2022
13,scanner,Yacero,HP EliteBook,DEF456,8/3/2021,4/27/2023,Windows 10,Qualcomm Snapdragon,26,12/20/2022
14,desktop,Riffpath,HP EliteBook,GHI789,12/21/2012,8/2/2022,macOS Big Sur,AMD Ryzen 5,13,8/4/2023
15,printer,Skivee,Dell OptiPlex,GHI789,4/20/2010,1/10/2022,Ubuntu 20.04,AMD Ryzen 5,20,10/12/2023
16,laptop,Zooveo,Lenovo ThinkCentre,GHI789,4/11/2016,11/30/2024,macOS Big Sur,Intel Core i7,30,1/23/2021
17,desktop,Vidoo,Dell OptiPlex,DEF456,9/1/2010,11/12/2023,macOS Big Sur,AMD Ryzen 5,12,4/13/2021
18,printer,Blogpad,Dell OptiPlex,ABC123,10/8/2016,11/25/2025,Ubuntu 20.04,Qualcomm Snapdragon,10,4/20/2021
19,scanner,Photobug,Lenovo ThinkCentre,ABC123,7/10/2016,5/27/2022,macOS Big Sur,Intel Core i7,14,6/28/2020
20,server,Feedbug,Lenovo ThinkCentre,DEF456,1/31/2010,8/18/2023,Ubuntu 20.04,AMD Ryzen 5,21,9/15/2021
21,desktop,JumpXS,Lenovo ThinkCentre,GHI789,4/4/2011,6/1/2025,macOS Big Sur,AMD Ryzen 5,4,3/18/2020
22,laptop,Eidel,Dell OptiPlex,DEF456,11/12/2014,1/12/2023,Windows 10,Intel Core i7,10,5/3/2021
23,scanner,Livetube,HP EliteBook,ABC123,8/1/2020,3/13/2022,Windows 10,Intel Core i7,19,10/8/2023
24,desktop,Vinte,Lenovo ThinkCentre,DEF456,2/10/2019,12/11/2025,macOS Big Sur,AMD Ryzen 5,9,1/29/2021
25,printer,Jazzy,Lenovo ThinkCentre,GHI789,8/23/2017,11/16/2024,macOS Big Sur,AMD Ryzen 5,17,2/20/2023
26,desktop,Jatri,HP EliteBook,GHI789,10/6/2018,12/27/2022,Windows 10,Intel Core i7,16,2/4/2022
27,server,Oloo,HP EliteBook,DEF456,11/16/2016,3/26/2024,Ubuntu 20.04,AMD Ryzen 5,20,2/28/2020
28,scanner,Jabbersphere,Dell OptiPlex,DEF456,5/12/2015,1/15/2022,Windows 10,Qualcomm Snapdragon,28,5/11/2020
29,server,Edgewire,HP EliteBook,GHI789,4/14/2010,8/11/2024,macOS Big Sur,Qualcomm Snapdragon,16,6/2/2020
30,desktop,Gevee,Lenovo ThinkCentre,DEF456,8/1/2010,12/7/2023,macOS Big Sur,Qualcomm Snapdragon,19,11/22/2022
31,laptop,Rhybox,Lenovo ThinkCentre,ABC123,8/2/2012,12/8/2022,Windows 10,Qualcomm Snapdragon,8,4/29/2021
32,server,Wordtune,Dell OptiPlex,DEF456,6/21/2021,8/20/2024,macOS Big Sur,Intel Core i7,17,8/19/2021
33,printer,Janyx,HP EliteBook,GHI789,10/30/2017,9/4/2024,Ubuntu 20.04,Intel Core i7,19,3/7/2020
34,printer,Skipstorm,HP EliteBook,ABC123,8/13/2014,2/25/2024,Ubuntu 20.04,Intel Core i7,23,5/15/2022
